cohort_month,months_since,cohort_size,active_customers
2024-09,13,28622,2314
2024-09,14,28622,2303
2024-09,15,28622,2370
2024-10,0,30020,29533
2024-10,1,30020,12617
2024-10,2,30020,9192
2024-10,3,30020,8762
2024-10,4,30020,5878
2024-10,5,30020,4777
2024-10,6,30020,4360
2024-10,7,30020,3717
2024-10,8,30020,3291
2024-10,9,30020,3106
2024-10,10,30020,2661
2024-10,11,30020,2761
2024-10,12,30020,2573
2024-10,13,30020,2424
2024-10,14,30020,2372
2024-11,0,44894,43287
2024-11,1,44894,15647
2024-11,2,44894,11862
2024-11,3,44894,10454
2024-11,4,44894,7398
2024-11,5,44894,6759
2024-11,6,44894,5824
2024-11,7,44894,4592
2024-11,8,44894,4298
2024-11,9,44894,3556
2024-11,10,44894,3614
2024-11,11,44894,3514
2024-11,12,44894,3404
2024-11,13,44894,3212
2024-12,0,51965,50917
2024-12,1,51965,19037
2024-12,2,51965,13890
2024-12,3,51965,12551
2024-12,4,51965,8645
2024-12,5,51965,7418
2024-12,6,51965,6885
2024-12,7,51965,5173
2024-12,8,51965,4601
2024-12,9,51965,4279
2024-12,10,51965,4274
2024-12,11,51965,4045
2024-12,12,51965,3364
2025-01,0,41814,41359
2025-01,1,41814,16968
2025-01,2,41814,13176
2025-01,3,41814,12120
2025-01,4,41814,8630
2025-01,5,41814,6883
2025-01,6,41814,6504
2025-01,7,41814,4631
2025-01,8,41814,4634
2025-01,9,41814,4116
2025-01,10,41814,3889
2025-01,11,41814,3739
2025-02,0,30334,27555
2025-02,1,30334,12508
2025-02,2,30334,9463
2025-02,3,30334,8654
2025-02,4,30334,5830
2025-02,5,30334,4870
2025-02,6,30334,4983
2025-02,7,30334,3583
2025-02,8,30334,3155
2025-02,9,30334,2920
2025-02,10,30334,2708
2025-03,0,37600,37422
2025-03,1,37600,15232
2025-03,2,37600,11964
2025-03,3,37600,10508
2025-03,4,37600,7350
2025-03,5,37600,5619
2025-03,6,37600,5870
2025-03,7,37600,4542
2025-03,8,37600,4029
2025-03,9,37600,3714
2025-04,0,33953,33953
2025-04,1,33953,14012
2025-04,2,33953,9809
2025-04,3,33953,9443
2025-04,4,33953,6813
2025-04,5,33953,5695
2025-04,6,33953,5360
2025-04,7,33953,4156
2025-04,8,33953,3788
2025-05,0,31645,29663
2025-05,1,31645,13318
2025-05,2,31645,10690
2025-05,3,31645,8795
2025-05,4,31645,6160
2025-05,5,31645,5166
2025-05,6,31645,5136
2025-05,7,31645,3817
2025-06,0,28660,27040
2025-06,1,28660,11650
2025-06,2,28660,9195
2025-06,3,28660,7768
2025-06,4,28660,5599
2025-06,5,28660,4862
2025-06,6,28660,4377
2025-07,0,33810,33447
2025-07,1,33810,14812
2025-07,2,33810,10872
2025-07,3,33810,9200
2025-07,4,33810,6456
2025-07,5,33810,5398
2025-08,0,34000,33796
2025-08,1,34000,14047
2025-08,2,34000,11227
2025-08,3,34000,9019
2025-08,4,34000,6581
2025-09,0,31812,31812
2025-09,1,31812,13154
2025-09,2,31812,9810
2025-09,3,31812,8903
2025-10,0,33159,33159
2025-10,1,33159,13937
2025-10,2,33159,10864
2025-11,0,49978,49978
2025-11,1,49978,18283
2025-12,0,53066,52869
