week_start,campaign_id,country_code,device,impressions,clicks,spend_aed,sessions,engaged_sessions,new_users,add_to_cart,begin_checkout,purchases,revenue_aed
2024-01-01,7,BH,Mobile,49092,636,635.45,620,357,471,63,34,20,1764.63
2024-01-01,7,BH,Tablet,3430,48,45.0,47,29,35,6,3,2,169.7
2024-01-01,7,OM,Desktop,17955,283,233.93,276,194,206,46,24,13,1123.27
2024-01-01,7,OM,Mobile,64714,816,709.34,799,469,592,82,41,25,2128.74
2024-01-01,7,OM,Tablet,4260,60,50.91,59,37,44,7,4,2,178.14
2024-01-01,7,QA,Desktop,19185,299,401.53,292,201,219,57,29,16,2020.82
2024-01-01,7,QA,Mobile,69373,919,1231.01,901,519,675,110,57,32,3999.93
2024-01-01,7,QA,Tablet,4723,66,87.93,65,40,49,10,5,3,372.98
2024-01-01,7,SA,Desktop,64511,983,1040.55,957,649,709,162,85,48,4705.67
2024-01-01,7,SA,Mobile,223840,2988,3186.1,2923,1716,2192,310,161,94,9255.18
2024-01-01,7,SA,Tablet,14770,211,224.43,205,126,154,29,15,9,869.29
2024-01-01,8,AE,Desktop,243206,2346,1689.18,2294,1215,2035,210,109,54,5571.75
2024-01-01,8,AE,Mobile,912940,7674,5504.41,7539,3355,6508,439,229,109,11587.32
2024-01-01,8,AE,Tablet,54951,492,369.54,482,232,427,37,19,9,963.35
2024-01-01,8,BH,Desktop,40539,401,227.33,391,211,338,33,17,8,770.67
2024-01-01,8,BH,Mobile,151226,1307,756.04,1277,576,1140,70,35,17,1471.14
2024-01-01,8,BH,Tablet,9337,85,50.65,83,40,72,5,3,1,116.87
2024-01-01,8,OM,Desktop,54179,547,289.63,530,287,465,43,24,11,930.28
2024-01-01,8,OM,Mobile,192301,1616,839.28,1582,710,1378,78,42,20,1646.14
2024-01-01,8,OM,Tablet,11900,109,56.92,107,52,93,7,3,2,133.72
2024-01-01,8,QA,Desktop,58446,567,467.6,554,297,496,54,28,13,1504.62
2024-01-01,8,QA,Mobile,217238,1810,1442.52,1770,801,1549,109,55,27,3257.53
2024-01-01,8,QA,Tablet,13216,121,95.8,117,57,106,9,5,2,276.6
2024-01-01,8,SA,Desktop,177461,1748,1092.05,1703,925,1503,146,74,36,3408.03
2024-01-01,8,SA,Mobile,699710,5830,3783.82,5680,2595,5092,309,157,76,6649.42
2024-01-01,8,SA,Tablet,46772,413,259.37,403,195,349,28,15,7,664.95
2024-01-01,9,AE,Desktop,235055,1847,1057.57,1810,912,1645,121,62,28,3031.4
2024-01-01,9,AE,Mobile,873375,5861,3377.45,5720,2443,5073,237,124,57,5859.15
2024-01-01,9,AE,Tablet,61623,435,236.83,430,191,390,23,12,5,548.86
2024-01-01,9,BH,Desktop,43858,345,151.31,338,168,301,20,10,5,400.85
2024-01-01,9,BH,Mobile,152046,1014,448.55,988,410,891,39,20,9,788.57
2024-01-01,9,BH,Tablet,10283,72,31.46,71,31,64,3,2,1,68.26
2024-01-01,9,OM,Desktop,51796,411,162.03,402,197,370,22,11,5,395.22
2024-01-01,9,OM,Mobile,201921,1284,496.94,1265,529,1144,43,23,10,894.26
2024-01-01,9,OM,Tablet,12588,88,36.25,87,38,77,4,2,1,71.77
2024-01-01,9,QA,Desktop,60939,483,290.81,469,230,411,32,16,8,901.07
2024-01-01,9,QA,Mobile,226410,1505,918.41,1464,605,1325,67,35,16,1941.97
2024-01-01,9,QA,Tablet,14452,102,63.46,100,45,90,5,3,1,157.68
2024-01-01,9,SA,Desktop,192357,1543,776.81,1514,738,1356,89,47,22,2081.09
2024-01-01,9,SA,Mobile,730635,4710,2239.98,4594,1910,4197,183,93,42,3762.44
2024-01-01,9,SA,Tablet,48517,333,160.1,327,141,304,16,8,4,361.24
2024-01-01,10,AE,Desktop,15823,103,817.77,100,74,70,13,7,4,955.74
2024-01-01,10,AE,Mobile,56395,320,2512.8,313,190,218,28,15,9,1969.73
2024-01-01,10,AE,Tablet,3813,23,174.39,23,15,16,2,1,1,153.94
2024-01-01,10,BH,Desktop,2732,18,108.0,17,13,12,2,1,1,123.36
2024-01-01,10,BH,Mobile,10136,56,341.85,55,34,38,4,2,1,251.5
2024-01-01,10,BH,Tablet,631,4,23.46,4,2,3,0,0,0,19.7
2024-01-01,10,OM,Desktop,3532,23,130.95,23,17,16,2,1,1,128.63
2024-01-01,10,OM,Mobile,13121,73,395.48,71,43,49,5,3,2,265.28
2024-01-01,10,OM,Tablet,822,5,27.5,5,3,3,0,0,0,22.32
2024-01-01,10,QA,Desktop,3872,26,221.69,25,18,18,3,2,1,257.96
2024-01-01,10,QA,Mobile,13743,74,637.0,72,44,50,6,3,2,451.29
2024-01-01,10,QA,Tablet,895,5,45.44,5,4,4,1,0,0,45.11
2024-01-01,10,SA,Desktop,11442,77,517.95,75,55,51,9,5,3,549.57
2024-01-01,10,SA,Mobile,41511,234,1568.15,231,144,162,18,9,5,1019.14
2024-01-01,10,SA,Tablet,3106,19,122.21,18,12,13,2,1,1,105.0
2024-01-01,11,AE,Desktop,0,0,0.0,3948,3131,2267,697,364,227,26802.39
2024-01-01,11,AE,Mobile,0,0,0.0,12633,8672,7348,1492,784,486,59013.77
2024-01-01,11,AE,Tablet,0,0,0.0,885,638,513,136,70,43,5017.14
2024-01-01,11,BH,Desktop,0,0,0.0,554,448,321,97,52,32,3133.01
2024-01-01,11,BH,Mobile,0,0,0.0,1636,1101,954,179,98,60,6068.45
2024-01-01,11,BH,Tablet,0,0,0.0,109,80,63,14,7,4,441.62
2024-01-01,11,OM,Desktop,0,0,0.0,626,507,361,99,51,31,2965.94
2024-01-01,11,OM,Mobile,0,0,0.0,1940,1314,1123,197,104,64,5968.0
2024-01-01,11,OM,Tablet,0,0,0.0,133,97,77,16,8,5,467.81
2024-01-01,11,QA,Desktop,0,0,0.0,1036,837,601,200,104,66,8888.23
2024-01-01,11,QA,Mobile,0,0,0.0,3410,2345,1956,437,222,135,17904.42
2024-01-01,11,QA,Tablet,0,0,0.0,222,163,132,35,18,12,1661.94
2024-01-01,11,SA,Desktop,0,0,0.0,2615,2085,1535,449,238,146,15404.48
2024-01-01,11,SA,Mobile,0,0,0.0,8461,5754,4886,946,496,300,33262.42
2024-01-01,11,SA,Tablet,0,0,0.0,558,395,326,75,39,24,2604.32
2024-01-01,12,AE,Desktop,0,0,0.0,1743,1534,314,551,282,202,26207.37
2024-01-01,12,AE,Mobile,0,0,0.0,5437,3925,1001,1122,583,414,56028.79
2024-01-01,12,AE,Tablet,0,0,0.0,393,307,70,97,51,37,4527.13
2024-01-01,12,BH,Desktop,0,0,0.0,227,204,40,65,34,24,2656.86
2024-01-01,12,BH,Mobile,0,0,0.0,731,528,129,127,66,46,4890.39
2024-01-01,12,BH,Tablet,0,0,0.0,52,41,10,12,6,4,467.83
2024-01-01,12,OM,Desktop,0,0,0.0,269,233,48,71,38,26,2580.36
2024-01-01,12,OM,Mobile,0,0,0.0,896,659,160,153,80,55,5473.9
2024-01-01,12,OM,Tablet,0,0,0.0,60,47,11,12,7,5,460.87
2024-01-01,12,QA,Desktop,0,0,0.0,434,378,78,145,75,54,7757.01
2024-01-01,12,QA,Mobile,0,0,0.0,1582,1173,286,337,172,123,18072.18
2024-01-01,12,QA,Tablet,0,0,0.0,102,80,19,28,15,10,1504.76
2024-01-01,12,SA,Desktop,0,0,0.0,1116,992,201,328,172,123,13358.03
2024-01-01,12,SA,Mobile,0,0,0.0,3352,2477,597,634,325,226,24952.12
2024-01-01,12,SA,Tablet,0,0,0.0,255,200,46,60,32,22,2538.96
2024-01-01,13,AE,Desktop,0,0,0.0,2740,2148,762,792,409,284,35226.37
2024-01-01,13,AE,Mobile,0,0,0.0,8673,5690,2473,1694,886,612,80000.43
2024-01-01,13,AE,Tablet,0,0,0.0,595,412,166,141,75,51,6514.46
2024-01-01,13,BH,Desktop,0,0,0.0,363,287,104,98,51,35,3562.29
2024-01-01,13,BH,Mobile,0,0,0.0,1146,773,326,192,99,66,6989.22
2024-01-01,13,BH,Tablet,0,0,0.0,73,51,21,15,8,5,598.44
2024-01-01,13,OM,Desktop,0,0,0.0,419,324,119,104,54,39,3743.86
2024-01-01,13,OM,Mobile,0,0,0.0,1229,801,348,195,103,73,6995.53
2024-01-01,13,OM,Tablet,0,0,0.0,95,67,27,19,10,7,684.96
2024-01-01,13,QA,Desktop,0,0,0.0,749,595,209,224,116,80,10947.9
2024-01-01,13,QA,Mobile,0,0,0.0,2247,1433,625,421,216,146,20634.48
2024-01-01,13,QA,Tablet,0,0,0.0,157,108,45,37,19,14,1982.37
2024-01-01,13,SA,Desktop,0,0,0.0,1861,1454,522,503,260,178,19838.07
2024-01-01,13,SA,Mobile,0,0,0.0,5870,3870,1640,1012,524,350,38520.56
2024-01-01,13,SA,Tablet,0,0,0.0,391,276,108,81,41,29,3113.7
2024-01-01,14,AE,Desktop,0,0,0.0,601,466,330,98,51,28,3558.39
2024-01-01,14,AE,Mobile,0,0,0.0,1896,1204,1055,185,99,55,6486.78
2024-01-01,14,AE,Tablet,0,0,0.0,127,87,69,16,9,5,586.02
2024-01-01,14,BH,Desktop,0,0,0.0,80,61,44,12,6,4,355.66
2024-01-01,14,BH,Mobile,0,0,0.0,253,159,140,23,12,7,682.12
2024-01-01,14,BH,Tablet,0,0,0.0,18,12,10,2,1,1,58.42
2024-01-01,14,OM,Desktop,0,0,0.0,93,71,52,12,6,4,328.62
2024-01-01,14,OM,Mobile,0,0,0.0,299,195,164,26,14,8,731.56
2024-01-01,14,OM,Tablet,0,0,0.0,19,13,11,2,1,1,53.95
2024-01-01,14,QA,Desktop,0,0,0.0,160,123,87,26,14,8,999.06
2024-01-01,14,QA,Mobile,0,0,0.0,486,311,269,52,27,15,1955.87
2024-01-01,14,QA,Tablet,0,0,0.0,37,25,20,5,3,1,197.01
2024-01-01,14,SA,Desktop,0,0,0.0,388,303,212,58,30,17,1828.28
2024-01-01,14,SA,Mobile,0,0,0.0,1259,816,684,118,65,36,3650.71
2024-01-01,14,SA,Tablet,0,0,0.0,84,58,48,10,5,3,314.2
2024-01-08,1,AE,Desktop,4933,1033,1122.94,1006,953,628,410,210,142,16576.25
2024-01-08,1,AE,Mobile,18587,3044,3453.28,2979,2293,1818,786,403,270,32561.51
2024-01-08,1,AE,Tablet,1226,220,245.3,214,176,132,70,36,24,2866.03
2024-01-08,1,BH,Desktop,849,167,153.16,163,150,100,56,28,18,1765.49
2024-01-08,1,BH,Mobile,3090,509,456.63,494,378,311,115,60,41,3994.11
2024-01-08,1,BH,Tablet,201,38,31.24,37,30,23,11,6,4,366.93
2024-01-08,1,OM,Desktop,1094,220,172.31,214,194,132,77,40,27,2469.07
2024-01-08,1,OM,Mobile,4006,678,536.68,666,515,411,151,79,55,4968.8
2024-01-08,1,OM,Tablet,267,48,37.47,46,38,29,13,6,4,431.73
2024-01-08,1,QA,Desktop,1143,236,293.72,231,214,144,95,49,33,4306.89
2024-01-08,1,QA,Mobile,4800,786,957.1,770,598,477,203,107,75,9648.35
2024-01-08,1,QA,Tablet,303,54,66.89,53,44,33,18,9,6,785.8
2024-01-08,1,SA,Desktop,3878,798,715.15,775,719,470,285,158,107,11414.88
2024-01-08,1,SA,Mobile,14515,2422,2261.99,2365,1842,1468,549,295,204,21951.82
2024-01-08,1,SA,Tablet,973,176,159.48,172,138,106,52,27,18,1842.43
2024-01-08,2,AE,Desktop,17582,868,2257.93,851,665,462,192,99,57,7159.02
2024-01-08,2,AE,Mobile,61559,2684,7169.19,2601,1724,1431,376,191,104,12696.15
2024-01-08,2,AE,Tablet,4155,186,500.12,181,127,99,32,17,9,1122.54
2024-01-08,2,BH,Desktop,2792,141,288.67,137,109,76,29,15,8,848.66
2024-01-08,2,BH,Mobile,11295,471,996.66,459,301,254,58,30,17,1643.81
2024-01-08,2,BH,Tablet,725,32,68.57,32,22,18,5,3,1,150.82
2024-01-08,2,OM,Desktop,4174,213,377.41,207,164,112,39,21,12,1084.72
2024-01-08,2,OM,Mobile,14035,605,1093.4,594,383,325,71,37,20,2020.17
2024-01-08,2,OM,Tablet,928,42,77.48,41,29,23,6,3,2,180.74
2024-01-08,2,QA,Desktop,4229,213,623.85,210,166,113,49,25,14,1968.45
2024-01-08,2,QA,Mobile,16382,682,1964.09,668,438,363,105,54,31,4114.82
2024-01-08,2,QA,Tablet,1033,48,134.21,47,32,25,9,5,3,336.83
2024-01-08,2,SA,Desktop,12217,634,1466.67,625,488,348,130,70,40,4486.79
2024-01-08,2,SA,Mobile,52039,2166,4835.89,2101,1362,1163,285,148,83,8530.71
2024-01-08,2,SA,Tablet,3081,136,311.25,133,92,74,21,11,6,687.41
2024-01-08,3,AE,Desktop,80362,1818,3112.12,1794,1371,1254,449,241,140,17581.61
2024-01-08,3,AE,Mobile,292515,5883,9654.36,5795,3756,4038,958,504,283,35315.17
2024-01-08,3,AE,Tablet,18949,407,686.32,399,271,282,81,43,24,2862.72
2024-01-08,3,BH,Desktop,13483,315,416.84,307,236,213,66,34,20,2021.45
2024-01-08,3,BH,Mobile,48447,933,1264.78,911,590,647,131,67,38,3797.06
2024-01-08,3,BH,Tablet,3149,68,91.68,67,46,47,11,6,3,354.16
2024-01-08,3,OM,Desktop,16768,397,498.2,390,304,269,88,45,26,2433.58
2024-01-08,3,OM,Mobile,58494,1177,1450.73,1152,728,796,154,80,47,4230.26
2024-01-08,3,OM,Tablet,3925,81,99.77,80,54,56,13,7,4,367.48
2024-01-08,3,QA,Desktop,18803,437,797.32,428,327,301,112,59,33,4651.84
2024-01-08,3,QA,Mobile,72965,1423,2613.06,1401,892,954,236,125,72,9555.17
2024-01-08,3,QA,Tablet,4201,92,175.18,91,62,63,19,10,6,759.24
2024-01-08,3,SA,Desktop,56388,1328,2000.95,1305,1012,909,303,156,88,8833.22
2024-01-08,3,SA,Mobile,218748,4254,6515.7,4134,2666,2926,637,327,190,19359.02
2024-01-08,3,SA,Tablet,15334,324,462.31,316,216,222,60,32,19,1880.97
2024-01-08,4,AE,Desktop,503518,4539,1835.5,4418,1993,3994,289,149,68,7695.42
2024-01-08,4,AE,Mobile,2010334,15117,6321.35,14782,5638,13169,600,308,144,16345.53
2024-01-08,4,AE,Tablet,125927,979,401.11,960,388,868,51,26,12,1419.34
2024-01-08,4,BH,Desktop,88494,776,259.04,762,334,694,45,23,11,972.37
2024-01-08,4,BH,Mobile,326633,2400,808.9,2360,875,2143,90,47,22,1978.67
2024-01-08,4,BH,Tablet,20456,168,56.14,163,66,145,8,4,2,184.42
2024-01-08,4,OM,Desktop,109172,958,289.77,934,419,845,54,29,13,1107.12
2024-01-08,4,OM,Mobile,399887,3106,945.79,3022,1155,2683,112,59,27,2356.16
2024-01-08,4,OM,Tablet,27957,213,64.4,209,84,186,9,5,2,204.91
2024-01-08,4,QA,Desktop,113888,1031,484.77,1020,458,927,75,40,19,2349.85
2024-01-08,4,QA,Mobile,420967,3216,1538.33,3181,1206,2849,142,73,34,4346.47
2024-01-08,4,QA,Tablet,27370,213,102.17,211,84,187,12,6,3,365.15
2024-01-08,4,SA,Desktop,418214,3656,1302.92,3555,1623,3197,232,118,55,5418.16
2024-01-08,4,SA,Mobile,1420902,10576,3930.29,10342,3847,9260,410,211,98,9746.08
2024-01-08,4,SA,Tablet,96235,775,277.36,760,303,676,38,20,9,906.69
2024-01-08,5,AE,Desktop,168253,2049,2744.9,2010,1317,1617,241,127,63,7658.03
2024-01-08,5,AE,Mobile,560622,5793,8147.9,5706,3078,4566,451,232,120,14573.54
2024-01-08,5,AE,Tablet,37034,415,569.81,408,237,328,38,20,10,1174.17
2024-01-08,5,BH,Desktop,27910,337,352.61,328,215,267,35,19,10,943.25
2024-01-08,5,BH,Mobile,106690,1069,1101.06,1042,576,845,72,38,19,1806.79
2024-01-08,5,BH,Tablet,6764,74,80.13,72,42,58,6,3,2,154.42
2024-01-08,5,OM,Desktop,35729,428,407.25,416,268,340,42,22,11,977.58
2024-01-08,5,OM,Mobile,133201,1354,1307.61,1317,719,1040,88,47,23,2105.58
2024-01-08,5,OM,Tablet,8267,91,89.54,88,52,70,7,4,2,171.64
2024-01-08,5,QA,Desktop,43934,512,740.09,497,320,398,61,32,16,2087.54
2024-01-08,5,QA,Mobile,136628,1399,2069.65,1361,724,1094,113,58,29,3726.02
2024-01-08,5,QA,Tablet,8460,94,151.44,92,54,74,9,5,2,317.26
2024-01-08,5,SA,Desktop,115635,1460,1692.45,1425,924,1145,159,81,41,4287.39
2024-01-08,5,SA,Mobile,430179,4401,5357.07,4313,2359,3422,305,156,79,8213.29
2024-01-08,5,SA,Tablet,27587,304,371.63,295,172,239,25,13,7,690.22
2024-01-08,6,AE,Desktop,46857,1255,1230.55,1219,1011,267,405,208,139,17558.74
2024-01-08,6,AE,Mobile,176396,4052,3935.17,3961,2715,857,872,449,295,37274.16
2024-01-08,6,AE,Tablet,12039,294,270.58,284,206,63,78,41,27,3294.93
2024-01-08,6,BH,Desktop,8528,220,166.8,217,180,47,66,34,23,2411.62
2024-01-08,6,BH,Mobile,30193,690,520.24,677,475,151,136,70,47,5010.94
2024-01-08,6,BH,Tablet,2104,51,36.94,50,37,11,12,6,4,411.84
2024-01-08,6,OM,Desktop,10784,294,199.31,289,236,63,83,43,29,2722.75
2024-01-08,6,OM,Mobile,38313,910,618.41,885,621,197,172,87,56,5632.95
2024-01-08,6,OM,Tablet,2646,65,43.16,62,47,14,14,7,5,498.37
2024-01-08,6,QA,Desktop,11387,306,312.97,303,254,66,110,59,40,5653.49
2024-01-08,6,QA,Mobile,43191,963,1041.94,943,651,212,214,111,74,10315.82
2024-01-08,6,QA,Tablet,3073,72,75.76,70,51,16,21,11,7,999.64
2024-01-08,6,SA,Desktop,35132,925,774.72,911,766,197,299,157,102,11644.71
2024-01-08,6,SA,Mobile,139992,3061,2606.86,2986,2105,662,626,330,207,21850.57
2024-01-08,6,SA,Tablet,9671,228,183.01,223,167,48,54,28,19,2142.34
2024-01-08,7,AE,Desktop,80912,1298,1544.42,1267,868,941,242,124,70,7857.79
2024-01-08,7,AE,Mobile,327523,4174,5028.95,4085,2410,2991,500,252,147,16281.72
2024-01-08,7,AE,Tablet,19344,273,323.51,268,168,201,41,22,13,1372.73
2024-01-08,7,BH,Desktop,12732,203,203.1,199,139,146,33,17,10,883.01
2024-01-08,7,BH,Mobile,50243,654,625.56,640,368,475,71,38,22,1882.73
2024-01-08,7,BH,Tablet,3607,50,45.94,49,31,37,6,3,2,169.64
2024-01-08,7,OM,Desktop,18268,285,248.21,282,193,212,45,24,14,1157.98
2024-01-08,7,OM,Mobile,65977,840,747.13,824,487,605,82,42,24,2023.49
2024-01-08,7,OM,Tablet,4448,62,53.72,61,38,45,7,4,2,191.05
2024-01-08,7,QA,Desktop,18551,301,403.41,294,204,223,56,29,17,1845.93
2024-01-08,7,QA,Mobile,72390,959,1316.66,935,554,701,116,63,37,4383.5
2024-01-08,7,QA,Tablet,4778,67,90.07,65,41,48,10,5,3,353.3
2024-01-08,7,SA,Desktop,60023,927,1001.69,907,643,671,151,80,47,4410.99
2024-01-08,7,SA,Mobile,213962,2791,3165.52,2710,1610,1968,300,161,92,8860.42
2024-01-08,7,SA,Tablet,14319,195,206.71,192,119,145,26,13,8,743.06
2024-01-08,8,AE,Desktop,251943,2533,1763.0,2469,1339,2207,220,116,56,5943.27
